Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2020","2020","ha","19325","I","Imputed value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2021","2021","ha","19573","I","Imputed value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2022","2022","ha","19802","I","Imputed value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2023","2023","ha","19567","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01341","Apples","2020","2020","ha","432","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01341","Apples","2021","2021","ha","443","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01341","Apples","2022","2022","ha","450","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01341","Apples","2023","2023","ha","445","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01211","Asparagus","2020","2020","ha","87","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01211","Asparagus","2021","2021","ha","85","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01211","Asparagus","2022","2022","ha","82","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01211","Asparagus","2023","2023","ha","120","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","2020","2020","ha","79397","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","2021","2021","ha","94111","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","2022","2022","ha","110183","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","2023","2023","ha","106714","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01312","Bananas","2020","2020","ha","99267","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01312","Bananas","2021","2021","ha","101890","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01312","Bananas","2022","2022","ha","104823","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01312","Bananas","2023","2023","ha","105574","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0115","Barley","2020","2020","ha","2826","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0115","Barley","2021","2021","ha","2693","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0115","Barley","2022","2022","ha","2868","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0115","Barley","2023","2023","ha","3420","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01701","Beans, dry","2020","2020","ha","80840","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01701","Beans, dry","2021","2021","ha","82598","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01701","Beans, dry","2022","2022","ha","85225","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01701","Beans, dry","2023","2023","ha","91741","A","Official figure",""
